2024-09-18 10:59:35 | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:00:10 | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:00:12 | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:00:39 | GET / | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 11:40:14 | GET /static/commands/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:40:15 | GET /static/commands/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:40:25 | GET /static/commands/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:40:28 | GET /e | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:40:38 | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:40:39 | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:40:47 | GET /e | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:41:03 | GET /stat | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:41:06 | GET /stat/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:42:29 | GET /e | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:42:43 | GET /get_events | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:42:43 | GET /get_events/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 11:42:54 | GET /get_events/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 11:42:57 | GET /get_events/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:30:21 | GET /get_events/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:31:27 | GET /get_file/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:31:34 | GET /get_file/e | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:32:09 | POST /get_file/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:32:16 | POST /get_file/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:32:37 | POST /get_file/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:33:49 | GET /e | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:34:33 | GET /login_status/' | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:34:37 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:34:52 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:34:55 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:34:57 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:36:14 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:36:15 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:36:25 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:36:26 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:37:02 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:37:02 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:37:05 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:37:06 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:37:32 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:40:03 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:42:40 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:42:44 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
